i0,i1,sign,n_arcs,is_compound,C_m,L_m,S,A_bend_m,A_bend_star,apex_idx,A_up_m,A_down_m,AR,openness,baseline_m,cluster
0,104,1,3,0,2306.5813759862776,4035.583981325868,1.7495953203039634,927.2604328234949,23.18151082058737,55,926.8494670404256,925.9839395466248,1.0009347111292497,53.01476652047035,2306.5813759862776,2
15,117,-1,3,0,1568.9864192154946,3946.623873644701,2.515397090319012,1334.7465637933471,33.36866409483368,77,1333.2279040964324,1333.965176541264,0.9994473075775911,89.69104611182317,1568.9864192154946,5
28,122,1,4,1,1428.8203028524645,3671.6317960011343,2.569694585576067,1481.9054276621246,37.04763569155311,79,1477.671129195836,1481.5574557673183,0.9973768640855916,117.57868306467604,1428.8203028524645,5
104,164,-1,5,1,1543.8179501500335,2289.5152293863352,1.4830215111592868,755.3853917016919,18.884634792542297,133,753.5736183353862,753.5880566356368,0.9999808405930488,117.55645476699456,1543.8179501500335,2
117,319,-1,8,1,6422.441890913108,7502.377726745149,1.1681503475119026,1001.4374776998926,25.035936942497315,251,1000.3156745693876,998.1422510306492,1.0021774687290257,116.97082524850596,6422.441890913108,2
285,486,-1,8,1,6963.376089440562,7514.048070627445,1.0790811775945772,599.8793537810196,14.996983844525491,362,596.325344906711,599.665100343646,0.9944306323062304,116.43456664439046,6963.376089440562,0
298,499,1,8,1,6750.845508691005,7486.427842071293,1.108961511922218,829.4732939172351,20.73683234793088,437,829.2329946876662,827.7279408574303,1.0018182953068815,119.502245625344,6750.845508691005,2
359,567,-1,9,1,6766.68610908913,7932.622294050987,1.1723053450633318,975.9071495191952,24.39767873797988,511,974.9717897596464,971.731998736346,1.00333403760246,117.90684754938329,6766.68610908913,2
432,568,-1,7,1,4090.9379787965095,5188.448346631663,1.2682784176938375,1051.9892576741292,26.299731441853236,511,1051.9246399023946,1046.9106711767768,1.0047892994728784,119.88572198580889,4090.9379787965095,2
500,607,1,5,1,3332.5871660987664,4157.09928867108,1.2474090193228209,463.95542027369737,11.598885506842434,590,462.5862048564728,461.1683465961621,1.0030744917138736,117.55021802615876,3332.5871660987664,0
539,609,1,3,0,2141.529063112202,2733.541854157945,1.276443967650569,595.9153933016745,14.897884832541862,589,595.8948134570843,592.0089377593625,1.006563880120508,115.14110562905168,2141.529063112202,0
605,744,1,5,1,4873.885718546507,5492.812379915491,1.1269883409481256,467.50646448397697,11.687661612099424,672,465.1035738634018,466.3551977087031,0.9973161576166604,113.83516372177591,4873.885718546507,0
662,749,-1,3,0,2884.5836108675244,3434.9079836889127,1.190781217347304,568.1591473255842,14.203978683139605,728,567.3048110406982,566.6044789617231,1.0012360157834588,116.74280024450589,2884.5836108675244,0
744,899,-1,5,1,5202.295749593107,6134.450954119111,1.1791815093555402,454.847535313959,11.371188382848974,880,454.0177104663199,454.783626885667,0.9983158663283636,76.33170395318298,5202.295749593107,0
770,905,1,5,1,4315.994761706246,5332.761259311348,1.2355810314290423,647.9107416834389,16.197768542085974,883,647.9079693067602,645.491409701656,1.0037437517661485,119.8614242384904,4315.994761706246,2
831,968,-1,4,1,4032.82452351536,5200.308089103801,1.2894952554421486,829.6691973974215,20.741729934935535,911,828.53703704888,824.9728081990086,1.0043204197937778,113.32169426004488,4032.82452351536,2
954,1052,1,5,1,2937.070490279287,3472.687471708749,1.1823643604067977,518.4381163902553,12.960952909756385,1026,517.6517547528526,513.3170680212698,1.008444462500131,64.55494786052715,2937.070490279287,0
965,1075,-1,5,1,2929.382803493582,3956.498939802629,1.350625440650539,440.29155916280126,11.007288979070031,1026,439.7726567835843,434.9053022450675,1.01119175717884,78.32805848898974,2929.382803493582,0
1021,1094,1,3,0,1135.8698033637345,2561.703623614781,2.255279272350247,920.9564027530608,23.02391006882652,1064,919.5833752191812,915.9868921670306,1.0039263477271407,119.97654727884046,1135.8698033637345,5
1057,1107,-1,3,0,1372.3190179983878,1808.1693217402185,1.3176012997164066,248.67426040269328,6.216856510067332,1068,247.3900163664489,242.6172219715253,1.0196721170745404,118.92836899715309,1372.3190179983878,4
1090,1170,1,4,1,2468.360079855382,2998.6722077474096,1.214843908804058,601.6317177755494,15.040792944388736,1136,601.4265813967673,601.1194360224397,1.0005109556536051,115.83771786723877,2468.360079855382,0
1149,1325,-1,5,1,5634.081252868781,6508.313023051684,1.1551684704117031,744.9826657699158,18.624566644247896,1209,743.6987343341054,743.770065704785,0.9999040948621508,114.28122786473476,5634.081252868781,2
1200,1328,1,5,1,4066.916718758231,4770.028071990637,1.1728856039734912,358.75120271544023,8.968780067886005,1314,357.03828035153094,358.7457718414823,0.9952403857439583,115.46071090397388,4066.916718758231,0
1272,1329,1,3,0,1679.4183802568066,2140.924058580484,1.2748008975899778,451.2954939717424,11.28238734929356,1310,451.17873980509086,449.59455731441744,1.0035235802233378,113.8047157507862,1679.4183802568066,0
1298,1355,-1,3,0,1414.9518280604325,2038.6629536574328,1.4408002542757674,249.00551039514352,6.225137759878588,1315,247.95223195362547,246.6093783524209,1.0054452657485131,103.84104132567016,1414.9518280604325,0
1325,1373,1,3,0,998.925710293655,1704.624194584906,1.7064574242300723,289.97913518475906,7.249478379618976,1362,283.5839366424705,289.8084256415847,0.978522056474603,105.759942618051,998.925710293655,3
1341,1374,-1,3,0,626.8326236574067,1151.054939527471,1.8363034980715625,290.6319476298304,7.265798690745759,1363,285.9048759842821,289.0832861476632,0.9890052095168258,115.5316583977492,626.8326236574067,1
1373,1434,-1,5,1,1679.211701594803,2106.487416874043,1.2544501773501473,264.16002952931103,6.604000738232776,1424,255.90437337598084,263.9612352717504,0.9694771018650712,117.3084489687945,1679.211701594803,3
